market,likely_in,borderline,plausible_including_borderline,out_salary,out_specialist
Bedfordshire,0,0,0,0,1
Berkshire,1,0,1,1,0
Bristol & Bath,1,0,1,0,2
Buckinghamshire,0,0,0,0,2
Cambridgeshire,0,0,0,0,0
Cheshire - East,0,0,0,0,0
Cheshire - Warrington & Halton,0,0,0,0,0
Cheshire - West,0,0,0,0,1
Cornwall,0,0,0,0,0
Cumbria - North,0,0,0,0,0
Cumbria - South,0,0,0,0,0
Cumbria - West,0,0,0,0,0
Derbyshire,0,0,0,0,0
Devon,0,0,0,0,2
Dorset,0,0,0,0,1
Essex,1,2,3,1,1
Gloucestershire,0,1,1,0,1
Greater Manchester - Manchester & Salford,2,1,3,1,2
Greater Manchester - North,0,0,0,0,0
Greater Manchester - South,0,0,0,0,1
Greater Manchester - Wigan & Bolton,1,0,1,0,0
Hampshire,1,2,3,0,5
Herefordshire,0,0,0,0,0
Hertfordshire,0,0,0,0,2
Kent,1,0,1,0,4
Lancashire - Blackpool & Fylde,0,0,0,0,0
Lancashire - Central,0,0,0,0,1
Lancashire - East,0,0,0,0,0
Lancashire - North,0,0,0,0,0
Lancashire - West,0,0,0,0,0
Leicestershire,0,0,0,0,3
Lincolnshire,0,1,1,0,3
London,5,4,9,5,6
Merseyside - Liverpool,0,0,0,0,2
Merseyside - Sefton,0,0,0,0,0
Merseyside - St Helens & Knowsley,0,0,0,0,0
Merseyside - Wirral,0,0,0,0,0
Norfolk,0,0,0,0,1
North East,1,0,1,0,4
Northamptonshire,1,0,1,0,2
Nottinghamshire,1,1,2,1,3
Oxfordshire,0,0,0,0,1
Rutland,0,0,0,0,0
Shropshire,1,1,2,0,1
Somerset,0,1,1,0,0
Staffordshire,0,1,1,0,1
Suffolk,1,0,1,0,1
Surrey,1,1,2,0,0
Sussex,4,1,5,0,0
West Midlands - Birmingham & Solihull,3,0,3,2,3
West Midlands - Black Country,0,0,0,0,0
West Midlands - Coventry & Warwickshire,2,0,2,0,0
Wiltshire,0,0,0,0,0
Worcestershire,0,0,0,0,3
Yorkshire - East,0,1,1,0,0
Yorkshire - North,1,0,1,0,0
Yorkshire - South,0,0,0,0,0
Yorkshire - West,3,1,4,0,1
North Scotland,0,0,0,0,0
Scotland - Borders,0,0,0,0,0
Scotland Central - Edinburgh & Lothians,0,0,0,0,0
Scotland Central - Falkirk & Stirling,0,0,0,0,0
Scotland Central - Fife,0,0,0,0,0
Scotland Central - Tayside,0,0,0,0,0
Scotland West - Ayrshire,0,0,0,0,0
Scotland West - Glasgow,0,1,1,0,1
Scotland West - Lanarkshire,0,0,0,0,0
Scotland West - Renfrewshire & Inverclyde,0,0,0,0,0
North Wales - East,0,0,0,0,0
North Wales - West,0,0,0,0,0
Wales - Mid,0,0,0,0,0
Wales - West,0,0,0,0,0
Wales South - Cardiff & Vale,0,0,0,0,0
Wales South - Gwent,0,0,0,0,0
Wales South - Swansea Bay,0,0,0,0,0
Wales South - Valleys,0,0,0,0,0
Northern Ireland - East,0,0,0,0,0
Northern Ireland - West,0,0,0,0,0
